                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.61041,                0.45542,                0.88963,                0.92569,                0.87624,                0.88433,                0.81255,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.60722,                0.45228,                0.88574,                0.97116,                0.88119,                0.88181,                0.80427,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.62467,                0.45783,                0.88982,                0.94199,                0.88429,                0.88177,                0.80319,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                0.61447,                0.44055,                 0.8927,                0.94631,                0.87129,                0.88597,                0.80535,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.63739,                 0.4632,                0.89009,                0.95901,                0.87624,                0.88008,                0.80194,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.59724,                0.43451,                0.87988,                 0.9418,                0.87129,                0.88449,                0.80657,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.59905,                0.43653,                0.89006,                 0.9722,                0.86568,                 0.8948,                0.82489,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.60619,                0.44039,                0.88468,                0.92658,                0.87462,                0.89157,                0.81472,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.58132,                0.42241,                0.87934,                0.94648,                0.87556,                0.89204,                0.82119,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.58467,                0.41773,                0.87647,                0.97728,                 0.8518,                0.88546,                0.81078,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.58638,                0.42406,                0.87767,                0.89856,                0.88614,                0.88369,                 0.8069,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.57414,                0.41723,                0.88383,                 0.9456,                0.88119,                0.88798,                0.81915,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.57551,                0.41717,                0.87924,                0.97804,                0.86139,                0.88126,                 0.8112,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.58217,                0.41489,                0.87948,                0.94919,                0.88614,                0.88033,                0.81497,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.57134,                0.41103,                0.87933,                0.94966,                0.88614,                 0.8853,                0.81671,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.54518,                0.39462,                0.87562,                0.94981,                0.88119,                0.87939,                0.81667,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.55389,                0.39844,                0.87936,                0.94022,                0.87624,                0.88821,                0.82434,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.55271,                0.39267,                0.86639,                0.94234,                0.88614,                0.88471,                0.80431,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                0.54273,                 0.3917,                0.86488,                 0.9603,                0.88614,                0.88856,                0.81843,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                0.52307,                0.37762,                0.87154,                0.97013,                0.87129,                0.88879,                0.82119,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                0.56137,                0.38995,                0.87725,                 0.9655,                0.88119,                0.89082,                0.81722,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.52749,                0.39215,                0.87111,                 0.9672,                0.87578,                 0.8903,                0.82479,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.53296,                0.37817,                0.87052,                0.96115,                0.88614,                0.88816,                0.83521,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.53495,                0.37642,                0.87171,                0.95458,                0.88614,                0.90058,                0.84199,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                0.53119,                 0.3788,                0.87336,                0.96594,                0.88119,                0.88779,                0.82878,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                 0.5182,                0.36657,                0.87132,                0.96738,                0.88093,                0.89857,                0.83132,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                 0.5294,                0.37417,                0.86113,                0.96716,                0.88614,                0.89308,                0.82084,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                 0.5111,                0.36573,                0.85588,                0.96752,                0.88474,                0.88942,                0.82244,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                 0.5137,                0.35989,                0.85517,                0.96031,                0.88614,                0.88818,                0.82371,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.51368,                 0.3643,                0.85812,                0.96749,                0.88397,                0.89694,                0.82036,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                0.51998,                0.36402,                0.85893,                0.96228,                0.88119,                 0.8935,                0.82882,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                 0.5129,                0.35238,                0.86391,                0.94203,                0.88495,                0.88427,                0.82693,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                0.51861,                0.37063,                0.86434,                0.92255,                0.88455,                0.88632,                0.82611,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.49844,                0.34848,                0.86671,                0.96642,                0.88614,                0.89643,                0.83965,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.50025,                 0.3461,                0.86815,                0.96733,                0.87962,                0.89799,                0.83349,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                0.50529,                0.34577,                0.85938,                0.95709,                0.88345,                0.89186,                0.83021,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.48822,                0.33367,                 0.8541,                0.96152,                0.88119,                0.89534,                 0.8315,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.47898,                0.33788,                0.85139,                0.96739,                0.88116,                0.89397,                0.83431,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.47802,                0.33246,                0.85631,                0.96192,                0.87542,                0.88483,                0.83849,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.48814,                0.33985,                0.85029,                0.95618,                0.88614,                0.88515,                0.83547,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.47399,                0.33307,                0.84798,                0.96445,                0.88614,                0.89162,                0.83655,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
